direction,direction_zh,query,title,year,authors,venue,doi,url,abstract,citation_count,source_database,open_access_pdf,raw_id
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Enhancing CO2 Mineralization Rate and Extent of Iron and Steel Slag via Grinding,2022,C. Myers; Jun Sasagawa; T. Nakagaki,ISIJ International,10.2355/isijinternational.isijint-2022-091,https://www.semanticscholar.org/paper/c14c90466fe6be1e71ccc79b98079956ce5d13cc,unclear,4,Semantic Scholar,https://www.jstage.jst.go.jp/article/isijinternational/62/12/62_ISIJINT-2022-091/_pdf,c14c90466fe6be1e71ccc79b98079956ce5d13cc
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Experimental Study on Indirect CO2 Mineralization of Industrial Solid Wastes: Electric Arc Furnace (EAF) Slag and Nickel Mine Tailings,2025,Hamid Radfarnia; Katrin Staneva; A. Shafeen; K. Zanganeh; B. Patarachao; Stephannie Vasquez Huertas; A. Zborowski; Judy Kung; Seyedeh Laleh Dashtban Kenari; Sanaz Mosadeghsedghi; Konstantin Volchek,ACS Omega,10.1021/acsomega.5c05128,https://www.semanticscholar.org/paper/66a5713d45f730f9b42831df9948585172153423,"CO2 mineralization utilizing alkaline industrial wastes as feedstocks is a promising approach for long-term carbon sequestration. This study investigates the indirect carbonation of electric arc furnace (EAF) steel slag and nickel mine tailing using two leaching agents, inorganic hydrochloric acid (HCl) and waste-derived acid mine drainage (AMD). The efficiency of metal leaching and CO2 sequestration capacity were evaluated under varying process conditions, including temperature and carbonation reaction acceleration by ultrasound cavitation. Results demonstrated that AMD can be a viable alternative to HCl, potentially reducing chemical costs while aiding in mine waste remediation. However, the effectiveness of both leaching and carbonation processes is strongly influenced by the mineralogical composition of the feedstocks. For serpentine-based feedstock rich in magnesium (nickel tailing), using AMD as a leaching agent resulted in a sequestration capacity of up to 65.12 g-CO2 /kg-Ni-Tailing versus 18.28 g-CO2 /kg-Ni-Tailing with HCl at room temperature. Conversely, for EAF steel slag rich in calcium, the trend was opposite, with HCl achieving a sequestration capacity of up to 154.76 g-CO2/kg-EAF versus 63.58 g-CO2/kg-EAF with AMD. The study further explores the impact of operating temperature and ultrasound process intensification on reaction kinetics, concluding that CO2 sequestration efficiency was improved either by increasing the temperature or employing ultrasound processing. These findings contribute to the development of sustainable mineralization strategies for industrial waste valorization and greenhouse gas mitigation.",2,Semantic Scholar,unclear,66a5713d45f730f9b42831df9948585172153423
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",CO2 Mineralization and Utilization using Steel Slag for Establishing a Waste-to-Resource Supply Chain,2017,S. Pan; Tai-Chun Chung; Chang-Ching Ho; Chin-Jen Hou; Yi-Hung Chen; P. Chiang,Scientific Reports,10.1038/s41598-017-17648-9,https://www.semanticscholar.org/paper/385aa2b25d4a4c78338ce5ed810ab5a9572ccf14,"Both steelmaking via an electric arc furnace and manufacturing of portland cement are energy-intensive and resource-exploiting processes, with great amounts of carbon dioxide (CO2) emission and alkaline solid waste generation. In fact, most CO2 capture and storage technologies are currently too expensive to be widely applied in industries. Moreover, proper stabilization prior to utilization of electric arc furnace slag are still challenging due to its high alkalinity, heavy metal leaching potentials and volume instability. Here we deploy an integrated approach to mineralizing flue gas CO2 using electric arc furnace slag while utilizing the reacted product as supplementary cementitious materials to establish a waste-to-resource supply chain toward a circular economy. We found that the flue gas CO2 was rapidly mineralized into calcite precipitates using electric arc furnace slag. The carbonated slag can be successfully utilized as green construction materials in blended cement mortar. By this modulus, the global CO2 reduction potential using iron and steel slags was estimated to be ~138 million tons per year.",143,Semantic Scholar,https://www.nature.com/articles/s41598-017-17648-9.pdf,385aa2b25d4a4c78338ce5ed810ab5a9572ccf14
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Remediation of stainless steel slag with MnO for CO2 mineralization,2019,Qing-jie Zhao; Chengjun Liu; Tian-Ci Gao; Lei Gao; H. Saxén; R. Zevenhoven,Chemical engineering research & design,10.1016/j.psep.2019.04.025,https://www.semanticscholar.org/paper/b91793f07973c155cdc180999ba20a64c91253ff,"Abstract Mineralization of CO2 using a Ca–rich metallurgical slag is known to be a promising approach to controlling CO2 emissions while converting slag by-products into valuable materials. However, untreated stainless steel slag (SSS) cannot straightforwardly be used for carbon capture and storage (CCS) or rather carbon capture and utilization (CCU) since there is a potential risk of toxic chromium release. For the dual goals of chromium immobilization and calcium recovery of SSS, four principal Ca–bearing phases of glass, dicalcium silicate, merwinite, and melilite were prepared and employed in order to investigate their decomposition behavior. Based on the experimental results, the morphology variations of the studied phases were revealed and the stability order was proposed as follow: glass > melilite > merwinite > dicalcium silicate. A MnO–based modification was conducted, and the effect of MnO content on the phase transformation and element distribution of SSS was investigated. Experimental results indicated that a proper increase of MnO content is beneficial for the calcium enrichment in target phases and chromium stabilization in a spinel phase. The structure and phases modification mechanism induced by added MnO is studied and reported in this work.",33,Semantic Scholar,https://research.abo.fi/files/25404634/Remediation%20of%20stainless%20steel%20slag%20with%20MnO%20for%20CO2%20mineralization.pdf,b91793f07973c155cdc180999ba20a64c91253ff
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","Steam Efficiently Enhancing CO2 Direct Mineralization Steel Slag Towards Actual Production: Phase Evolution, Microstructure, and Mechanisms",2025,Xiaoqiang Wang; Changsheng Yue; Guanghua Lu; Xiangtao Huo; Guilan Yi; Haokun Li; Min Guo; Mei Zhang,Materials,10.3390/ma18204786,https://www.semanticscholar.org/paper/999bf2ce15ad6f1b3fe53636ca50509d7e3fd1c0,"About 120 million tons of steel slag are produced annually in China, making it one of the largest sources of industrial solid waste; however, its utilization rate remains only around 30%. The presence of f-CaO is the main factor in its widespread application. Currently, the carbonation of steel slag is mainly through indirect wet mineralization, which is difficult to implement on an industrial scale. Direct dry carbonation, on the other hand, consumes more energy due to its slow kinetics. In this study, steam coupled with CO2 was used to directly mineralize steel slag, a process fully compatible with existing iron and steel industry treatment processes. The required temperature can be achieved using the waste heat from hot steel slag, eliminating the need for additional heat supply. With 15% steam injection, the CaCO3 content increased to 12.02 g/100 g (52.8 kg CO2 t−1 slag utilization), representing a 16.7% improvement. After mineralization, the f-CaO decreased to 0.61%, with 91.73% of f-CaO in steel slag mineralized. The mineralization efficiency of f-CaO increased by 20.24%. This enhancement was attributed to steam entering the interior pores of steel slag, generating intermediate Ca(OH)2, causing steel slag particle breakage and fully exposing the previously enclosed f-CaO for complete carbonation. To further utilize flue gas, the effects of different CO2 concentrations on carbon fixation were investigated. At a concentration of 20% CO2, the carbon fixation reached 69.90% of that achieved at 100% CO2. This research not only addresses the stability issues of steel slag but also reduces CO2 emissions and effectively utilizes waste heat, making the process suitable for large-scale industrial application.",0,Semantic Scholar,unclear,999bf2ce15ad6f1b3fe53636ca50509d7e3fd1c0
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Research Progress on Chemical Pathways for CO2 Capture by Steel Slag Mineralization,2025,萌遥 孙,Metallurgical Engineering,10.12677/meng.2025.123019,https://www.semanticscholar.org/paper/6e6794331eb5924e56300973306dd3177a614fda,unclear,0,Semantic Scholar,unclear,6e6794331eb5924e56300973306dd3177a614fda
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",CO2 Mineralization and Utilization using Steel Slag for Establishing a Waste-to-Resource Supply Chain,2017,S. Pan; Tai-Chun Chung; Chang-Ching Ho; Chin-Jen Hou; Yi-Hung Chen; P. Chiang,Scientific Reports,10.1038/s41598-017-17648-9,https://www.semanticscholar.org/paper/c4100fdda6d283f1af98b5b44132e3f7d00eb611,"Both steelmaking via an electric arc furnace and manufacturing of portland cement are energy-intensive and resource-exploiting processes, with great amounts of carbon dioxide (CO2) emission and alkaline solid waste generation. In fact, most CO2 capture and storage technologies are currently too expensive to be widely applied in industries. Moreover, proper stabilization prior to utilization of electric arc furnace slag are still challenging due to its high alkalinity, heavy metal leaching potentials and volume instability. Here we deploy an integrated approach to mineralizing flue gas CO2 using electric arc furnace slag while utilizing the reacted product as supplementary cementitious materials to establish a waste-to-resource supply chain toward a circular economy. We found that the flue gas CO2 was rapidly mineralized into calcite precipitates using electric arc furnace slag. The carbonated slag can be successfully utilized as green construction materials in blended cement mortar. By this modulus, the global CO2 reduction potential using iron and steel slags was estimated to be ~138 million tons per year.",9,Semantic Scholar,https://www.nature.com/articles/s41598-017-17648-9.pdf,c4100fdda6d283f1af98b5b44132e3f7d00eb611
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Synergistic gas–slag scheme to mitigate CO2 emissions from the steel industry,2025,Zichen Di; Yanxia Wang; Chenggong Chang; Huiping Song; Xi Lu; Fangqin Cheng,Nature Sustainability,10.1038/s41893-025-01572-2,https://www.semanticscholar.org/paper/058d811f3d64f7f5f05f6f78dbbe2cfdec60335f,unclear,50,Semantic Scholar,unclear,058d811f3d64f7f5f05f6f78dbbe2cfdec60335f
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Geochemical modeling of CO2 sequestration via weathering of steel slag: Reactive transport and mineralization dynamics,2026,E. Cosgun; J. Campbell; A. McBride; P. Wade; M. van der Spek; P. Renforth,Applied Geochemistry,10.1016/j.apgeochem.2026.106863,https://www.semanticscholar.org/paper/32f73931cccb5c49563116f286a55a536f48c56d,unclear,0,Semantic Scholar,unclear,32f73931cccb5c49563116f286a55a536f48c56d
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Carbonation of steel slag for mineral CO2 sequestration: a novel method for desorption of CO2-loaded monoethanolamine (MEA),2025,Ayşegül Bilen Özkan; M. Altay; Erdal Ünal; O. Gündüz,Environmental science and pollution research international,10.1007/s11356-025-37220-7,https://www.semanticscholar.org/paper/6a2d6ddf8fc03569109052596bf5b5ad239ee6ba,unclear,1,Semantic Scholar,unclear,6a2d6ddf8fc03569109052596bf5b5ad239ee6ba
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Study on Improving the Stability of Steel Slag Fine Aggregate by Boiling Pretreatment Combined with Microbial Mineralization,2025,Zhe Wang; Haihe Yi; Whenyu Du; Dachao Jiang; Yonghua Jiao; Hongyi Zhao; Tian Su,Coatings,10.3390/coatings15111358,https://www.semanticscholar.org/paper/b3171480f3709656c1a9fa3285abb2773ded4f43,"The volume stability of steel slag fine aggregate (SSFA) is poor due to the hydration expansion of f-CaO/f-MgO, which limits its resource utilization. In this paper, a green modification route combining simple boiling water pretreatment with carbonic anhydrase (CA) -mediated microbial mineralization (MICP) was proposed and evaluated from macro–micro multi-scale. Compared with direct carbonization, CA-MICP accelerated CO2 hydration and carbonate precipitation. Boiling water pretreatment enhanced ion release and pore accessibility, and the two synergistically improved the reaction kinetics. At 0.3 MPa, 100 h boiling pretreatment combined with 12 h microbial mineralization (K8 group) performed best: CO2 absorption rate reached 4.98%, carbonization rate reached 3.93%; the content of f-CaO and f-MgO decreased to 0.16% and 0.12% (conversion rate 91.82% and 87.43%), respectively. The linear expansion of SSFA mortar decreased to 0.0176% after 55 h of water bath. XRD/FTIR showed that the carbonate peak was enhanced and the O-H characteristics were weakened. The weight loss of TG-DTG at 600–800 °C increased. SEM/BET observed that flake/cluster carbonates filled the pores and increased the interface density. Innovations: For the first time, the synergistic effect of boiling water pretreatment and CA-MICP was verified in the steel slag fine aggregate system, and a feasible process window was given to efficiently convert expansive oxides into stable carbonates, significantly improve volume stability, and provide a feasible path for the high-value utilization of SSFA.",0,Semantic Scholar,unclear,b3171480f3709656c1a9fa3285abb2773ded4f43
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",3D nanostructure of CO2‐mineralized steel slag,2024,Linshan Li; Tiefeng Chen; Ming Sun; Xiaojian Gao; Xingyang He; Guoqing Geng,Journal of The American Ceramic Society,10.1111/jace.20340,https://www.semanticscholar.org/paper/88841f004d5636d7ef25202e516e3b1b6b87c4c5,"Steel slag, a major industrial waste in China, possesses significant CO2 absorption potential. In this study, the CO2 sequestration of steel slag reached up to 15.6%; however, excessive mineralization resulted in reduced hydration activity. Compared to unmineralized slag, the 1‐day compressive strength decreased by 15.9%, and cumulative hydration heat over 72 h dropped by 8%. Using advanced visualization techniques such as scanning electron microscopy‐backscattered electron (SEM‐BSE), 3D X‐ray, and focused ion beam‐transmission electron microscopy (FIB‐TEM), the study reveals the microstructure of overmineralized steel slag, identifying a composition of a calcite outer layer, an amorphous SiO2 layer, a transition area, and an unmineralized core. The mineralization reaction affected 84.80% of the steel slag particles, with volume expansion causing dense regions to become porous, increasing porosity from 0% to 1.62%. This expansion also risks lattice distortion. During CO2 mineralization, a dense calcite layer forms, blocking the hydration of internal silicate gels and calcium silicate minerals, reducing the hydration activity of overmineralized slag. This study offers insights for optimizing CO2 mineralization techniques and applications for steel slag.",6,Semantic Scholar,unclear,88841f004d5636d7ef25202e516e3b1b6b87c4c5
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Coupling Mineralization and Product Characteristics of Steel Slag and Carbon Dioxide,2023,Linhao Zhao; Dongxu Wu; Wentao Hu; Jiajie Li; Zhengyang Zhang; Feihua Yang; Zhaojia Wang; Wen Ni,Minerals,10.3390/min13060795,https://www.semanticscholar.org/paper/0d7dd97e501e043bab4c00ab1aec80c788a32770,"Crude steel production in China exceeds 1 billion tons per year, and steel slag production accounts for 10%–15% of the crude steel mass. Although slag presents certain hydration activity, it is still difficult to be used as a building material because the particles contain a large amount of active calcium oxide and magnesium oxide, which are easy to hydrate and expand besides presenting low stability. The heap stock is increasing at a rate of 80 Mt/a because of the limitation of application scenarios. Moreover, every 1 ton of crude steel is associated with an emission of 1.8 tons of carbon dioxide (CO2), which becomes a greenhouse gas, because it cannot be reused at the moment. In this investigation, CO2 was used to cure steel slag particles, and the coupling mineralization reaction between them was used to convert active calcium oxide and magnesium oxide in steel slag into carbonate forms and, thus, allow the processing of steel slag particles into fine building aggregate. Two particle size ranges of 0.6–2.36 and 2.36–4.75 mm were selected as representative particle sizes. Mineralization was carried out under a temperature of 25 °C, relative humidity of 75%, a CO2 concentration of 20%, and a time of 24 h. The carbon fixation rate of steel slag was 9.68%. The quality of steel slag fine aggregate as a product met the GB/T 14684-2011 construction sand grade II standard. The application of this technology is expected to improve the stability of steel slag particles, the utilization rate as a building material, and the resource utilization level of CO2. It is expected to realize the full, high-value-added resource utilization of steel slag and CO2 absorption and solve the supply shortage problem of fine aggregate for construction in China, which has potential economic and environmental benefits.",24,Semantic Scholar,https://www.mdpi.com/2075-163X/13/6/795/pdf?version=1686542982,0d7dd97e501e043bab4c00ab1aec80c788a32770
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Performance and mechanisms of alkaline solid waste in CO2 mineralization and utilization.,2024,Yongpeng Zhang; Guoxiong Zhan; Zhoulan Huang; Lei Xing; Yimei Ying; Zhen Chen; Junhua Li,Waste Management,10.1016/j.wasman.2023.12.047,https://www.semanticscholar.org/paper/b9475e95d50ad7ef7cd675eb2b10b27fd1a0e220,"CO2 mineral sequestration using alkaline solid waste (ASW) is a promising strategy for synergistically reducing CO2 emissions and reusing industrial waste. However, improvement the carbonation degree still remains challenges due to the sluggish leaching rate of Ca/Mg ion at low pH. To the issues, this study proposed an amine-mediated CO2 absorption and mineralization process with six common ASWs, as well an ecological utilization route of CO2-ASW productions. Experimental results indicated that calcium carbide slag (CS) had greater CO2 mineralization capacity (86.2 g-CO2/kg-CS) than other ASWs, while stirring rate and particle size played a more important role during CO2 capture. Amine-mediated CO2 capture was verified to be more excellent with steel slag (SS) as mineral medium. When the MEA concentration was increased to 2 mol/L, the extraction efficiency of Ca2+ was increased by 35 %, leaded to the CO2 removal efficiency significantly promoted from 49 % to 92 %. The characterization of structural morphology referred spherical aragonite or needle-bar calcite was dominant for the porous mineralization products (30.6 m2/g). High germination index of pea seed (112.1 % at a dose of 10 g/L) inferred the negligible toxicological effects of tiny MEA residue over SS mineralization products, after centrifugally washing treatment. Pea seeds cultivated with mineralized products after centrifugal washing can achieve a growth rate of about 4 mm/d. Overall, this work provides a feasible route to apply the porous CO2-ASWs production into water conservation in arid and sandy land.",30,Semantic Scholar,unclear,b9475e95d50ad7ef7cd675eb2b10b27fd1a0e220
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Large Scale Valorization Of Steel Slag Combined With Membrane-Based Direct Air Capture For Carbon Mineralization: A Techno-economic Evaluation,2026,Vitor Gama; Kyle J. Shank; M. Morgan; Owen Gerdes; Savannah Sakhai; Fernando Lima; S. Zhai; Oishi Sanyal,RSC Sustainability,10.1039/d5su00924c,https://www.semanticscholar.org/paper/c16198fd7a53e4fb62c5683c4eb559c84716e831,"The removal of carbon dioxide (CO2) from the atmosphere and from hard-to-abate industrial processes such as those with inherent process emissions, including steel production remains a significant challenge for meeting...",0,Semantic Scholar,unclear,c16198fd7a53e4fb62c5683c4eb559c84716e831
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Technical and economic evaluation for two process alternatives of CO2 mineralization technology using electric arc furnace slag as raw material,2019,Martínez García; D. Edith,unclear,unclear,https://www.semanticscholar.org/paper/1704b5d2d9db61577a1efd448a5b0b5e8124ab15,unclear,0,Semantic Scholar,unclear,1704b5d2d9db61577a1efd448a5b0b5e8124ab15
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Effect of Solidification and Cooling Methods on the Efficacy of Slag as a Feedstock for CO2 Mineralization,2018,C. Myers; T. Nakagaki,unclear,10.2355/isijinternational.isijint-2017-478,https://www.semanticscholar.org/paper/74117fe82798ca5ead3ace015669071789e48106,"Iron and steel making (ISM) slag is often utilized to partially offset CO 2 emissions associated with metal production. Currently, the primary recycling method for slag is as β -Ca 2 SiO 4 utilized in the cement industry, termed ground granulated blast furnace slag (ggbs). However, the cement market is not large enough to exploit the entirety of ISM slag as ggbs, relegating a large quantity of slag to reuse pathways with minor impacts on CO 2 reduction. Recent years have seen an increase in research into mineralizing CO 2 using the Ca and Mg content of ISM slags as a feedstock. Unfortunately, it has not been widely recognized that the solidification and cooling processes of slag dramatically effects its efficacy as a CO 2 mineralizing feedstock via modification of mineralogy, crystallinity, grain size, and micromorphology. This paper clarifies the key properties determining mineralization effectiveness and elucidates how to control these properties during the solidification and cooling process. The effect of solidification and cooling method on net CO 2 reduction is shown to be strongly dependent on solidification and cooling method along with the CO 2 intensity of energy generation.",5,Semantic Scholar,https://www.jstage.jst.go.jp/article/isijinternational/58/2/58_ISIJINT-2017-478/_pdf,74117fe82798ca5ead3ace015669071789e48106
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","A Review on the Carbonation of Steel Slag: Properties, Mechanism, and Application",2024,Shuping Wang; Mingda Wang; Fang Liu; Qiang Song; Yu Deng; Wenhao Ye; Jun Ni; Xinzhong Si; Chong Wang,Materials,10.3390/ma17092066,https://www.semanticscholar.org/paper/51494a9cc771117bbc07668bc7cf99ec6c0b3352,"Steel slag is a by-product of the steel industry and usually contains a high amount of f-CaO and f-MgO, which will result in serious soundness problems once used as a binding material and/or aggregates. To relieve this negative effect, carbonation treatment was believed to be one of the available and reliable methods. By carbonation treatment of steel slag, the phases of f-CaO and f-MgO can be effectively transformed into CaCO3 and MgCO3, respectively. This will not only reduce the expansive risk of steel slag to improve the utilization of steel slag further but also capture and store CO2 due to the mineralization process to reduce carbon emissions. In this study, based on the physical and chemical properties of steel slag, the carbonation mechanism, factors affecting the carbonation process, and the application of carbonated steel slag were reviewed. Eventually, the research challenge was also discussed.",60,Semantic Scholar,https://www.mdpi.com/1996-1944/17/9/2066/pdf?version=1714289573,51494a9cc771117bbc07668bc7cf99ec6c0b3352
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Carbon dioxide reduction through mineral carbonation by steel slag.,2024,Yongpeng Zhang; Yimei Ying; Lei Xing; Guoxiong Zhan; Yanli Deng; Zhen Chen; Junhua Li,Journal of Environmental Science,10.1016/j.jes.2024.06.016,https://www.semanticscholar.org/paper/309154d0aa84f384e05bab8dc25e132025571a15,"Carbon dioxide (CO2) mineralization technology has attracted significant attention, due to the synergistic terminal treatment of CO2 and industrial waste. The combined CO2 mineralization process with steel enterprises is a promising route to simultaneously address CO2 emissions and SS treatment. Recently, a serial of the relevant work focus on a single type of steel slag (SS), and the understanding of CO2 absorption by mineralization of various SS is very lacking. Meanwhile, it is urgent requirement for systematic summary and discussion on how to make full use of the mineralized products produced after the mineralization of CO2 in SS. This review aims to investigate the progress of CO2 mineralization using SS, including the potential applications of mineralization products, as well as the environmental impact and risk assessment of mineralization product applications. Currently, the application of SS mineralization products is primarily focused on their use as construction materials with low economic value. With usage of the mineralization products for ecological restoration (e.g. sandy soil remediation) was treated as an advanced route, but still remaining challenge in functional materials preparation, and its technical economy and possible hazards need to be further explored by long-term experimental tests.",38,Semantic Scholar,unclear,309154d0aa84f384e05bab8dc25e132025571a15
