direction,title,year,authors,venue,doi,url,citation_count,abstract,relevance_reason_cn,possible_inspiration_for_my_project_cn
B,Advances in lightweight composite structures and manufacturing technologies: A comprehensive review,2024,Resego Phiri; Sanjay Mavinkere Rangappa; Suchart Siengchin; Oluseyi Philip Oladijo; Togay Ozbakkaloglu,Heliyon,10.1016/j.heliyon.2024.e39661,https://doi.org/10.1016/j.heliyon.2024.e39661,142,"The field of lightweight composite structures has witnessed significant advancements in recent years, revolutionizing numerous industries through their exceptional combination of strength, weight reduction and versatility. This review paper provides a comprehensive and in-depth analysis of these ground breaking materials. It elucidates fundamental concepts of lightweight composite structures, exploring their composition, classification, physical and mechanical properties as well as recent strides in their engineering applications. Crucially, this review highlights the recent progress and developments of lightweight composite materials. From aerospace to automotive, from construction to sporting goods, these advanced materials are transforming various industries by combining strength with reduced weight. Emphasizing the role of lightweight composites in energy-efficient systems, the paper underscores their significance in resource optimization and sustainable engineering practices. A detailed examination of various types of composites, such as polymer matrix composites, ceramic matrix composites and metal matrix composites, will be presented, highlighting their specific advantages and applications. Moving forward, the review delves into the diverse fabrication methods employed to create these advanced materials. This comprehensive paper serves as a valuable resource for researchers, engineers, and industry professionals seeking to capitalize on the benefits of lightweight composite materials. By presenting a holistic view of composites' classification, properties, and recent advancements, this study fosters innovation and propels the integration of lightweight composite materials into diverse engineering applications, ultimately driving progress towards a more efficient, sustainable, and technologically advanced future.",相关：命中主题关键词：cement、concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2024 年论文《Advances in lightweight composite structures and manufacturing technologies: A comprehensive review》的题录和引用数 142，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Recent Trends in Treatment and Fabrication of Plant-Based Fiber-Reinforced Epoxy Composite: A Review,2023,Abdullahi Haruna Birniwa; Shehu Sa’ad Abdullahi; Mujahid Ali; Rania Edrees Adam Mohammad; Ahmad Hussaini Jagaba; Mugahed Amran; Siva Avudaiappan; Nelson Maureira-Carsalade; Erick I. Saavedra Flores,Journal of Composites Science,10.3390/jcs7030120,https://doi.org/10.3390/jcs7030120,115,"Natural fiber (NF) is one of the many resources that nature has provided. NFs decompose quickly and are biodegradable, renewable, and cost-effective. It may be scavenged from a variety of plant and animal sources. They are employed as reinforcing materials in polymers for NF composite development. Because of its environmental friendliness and long-term survivability, NF is growing in appeal among academics and researchers for usage in polymer composites. This study aims to offer a thorough evaluation of the most suitable and widely utilized natural fiber-reinforced polymer composites (NFPCs), along with their manufacture, processing, and applications. It also defines several external treatments of NF and their influence on the characteristics of NFPCs. The characteristics of NFPCs are affected by fiber supply, fiber type, and fiber structure. Numerous physical and chemical treatments were tested to see how they affected the thermal and strength properties of natural fiber-reinforced thermoplastic and thermosetting composites. Several polymer composite fabrication techniques were also studied. NFPCs have several disadvantages, notably low fire protection, poor strength properties, and greater moisture absorption, which have prevented their application. It is shown how NFPCs are employed in a variety of industries, particularly automotive and research industries. The review discovered that intentionally changing the regular fiber enhanced the thermochemical and physico-mechanical properties of the NFPCs by means of improving the grip between the fiber surface and the polymer framework. This study aims to provide important and fundamental facts on NF and their composites, which will aid in new investigations, the creation of a creative framework for polymer composite types, and the achievement of Sustainable Development Goals.",相关：命中主题关键词：concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2023 年论文《Recent Trends in Treatment and Fabrication of Plant-Based Fiber-Reinforced Epoxy Composite: A Review》的题录和引用数 115，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Functionally graded materials classifications and development trends from industrial point of view,2019,Islam M. El-Galy; Bassiouny Saleh; Mahmoud H. Ahmed,SN Applied Sciences,10.1007/s42452-019-1413-4,https://doi.org/10.1007/s42452-019-1413-4,264,unclear,相关：命中主题关键词：concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2019 年论文《Functionally graded materials classifications and development trends from industrial point of view》的题录和引用数 264，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Advancements in Fiber-Reinforced Polymer Composites: A Comprehensive Analysis,2023,Alin Diniță; Răzvan George Rîpeanu; Costin Nicolae Ilincă; Diana Cursaru; Dănuţa Matei; Ibrahim Ramadan; Maria Tănase; Alexandra Ileana Portoacă,Polymers,10.3390/polym16010002,https://doi.org/10.3390/polym16010002,106,"Composites made from fiber-reinforced polymers (FRPs) are a crucial and highly adaptable category of materials widely utilized in numerous fields. Their flexibility and the range of criteria for classification enable the creation of tailored solutions to address distinct requirements in sectors such as civil engineering, aerospace, automotive, and marine, among others. The distinguishing characteristics of FRP composites include the type of reinforcing fiber used, the composition of the matrix material, the employed manufacturing process, the orientation of the fibers, and the specific end-use application. These classification variables offer engineers a versatile structure to determine and select the most appropriate materials and production techniques for their specific needs. Furthermore, the present study aims to reunite the criteria of classification for FRPs and specific manufacturing technologies of FRPs, such as conventional ones (matched die molding, contact molding), automated ones (filament winding, tape lay-up, and fiber placement), and advanced ones (electrospinning and additive manufacturing),with the chronological development of FRPs, insights on material characteristics, and comprehensive design guidelines based on their behavior in different environments of use.",相关：命中主题关键词：cement、concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2023 年论文《Advancements in Fiber-Reinforced Polymer Composites: A Comprehensive Analysis》的题录和引用数 106，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Novel Applications of Aluminium Metal Matrix Composites,2019,Francis Nturanabo; Leonard Masu; John Baptist Kirabira,IntechOpen eBooks,10.5772/intechopen.86225,https://doi.org/10.5772/intechopen.86225,144,"Advanced materials have offered the materials designer a wide range of options in the specification and selection of materials for various applications. Material properties are continually being improved to meet safety and operational standards in line with prevailing technological developments. Modern technological requirements, together with the consumers’ demands for systems and machines that are more energy efficient, stronger, light-weight, cost-effective, etc., dictate that the search for new and advanced materials will remain a subject of interest all the time. The difficulty in designing materials for such stringent specifications cannot be overstated, owing to the conflicting nature of these specifications. Aluminium metal matrix composites (AlMMCs) are a class of materials that have proven successful in meeting most of the rigorous specifications in applications where light-weight, high stiffness and moderate strength are the requisite properties. With a variety of reinforcement materials and flexibility in their primary processing, AlMMCs offer great potential for the development of composites with the desired properties for certain applications. In this review, the development, utilisation and future potential of AlMMCs in various industrial and commercial applications is discussed, together with the existing challenges hindering their full market penetration.",相关：命中主题关键词：cement、concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2019 年论文《Novel Applications of Aluminium Metal Matrix Composites》的题录和引用数 144，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Recent Progress in Hybrid Aluminum Composite: Manufacturing and Application,2021,Elvira Wahyu Arum Fanani; Eko Surojo; Aditya Rio Prabowo; Hammar Ilham Akbar,Metals,10.3390/met11121919,https://doi.org/10.3390/met11121919,76,"Due to their excellent properties, the requirement for materials with higher characteristics has transformed primary alloy into composite materials. Composites are particularly essential for various applications in numerous engineering purposes because of their superior mechanical, physical, and machining qualities. Compared to traditional materials, aluminum composite has various advantages and superior characteristics. To reduce production costs and obtain the desired properties, the researchers developed a hybrid aluminum matrix composite (HAMC), an AMC with two or more types of reinforcement. Further studies were conducted to improve the qualities and manufacturing processes of composites to improve their properties. Various methods are available to HAMC manufacturing, and different manufacturing methods result in different characteristics of HAMC composites, viewed from physical properties, mechanical properties, and production cost. In addition, differences in the type, size, and amount of reinforcement produce various hybrid composite properties, especially in the physical properties, mechanical properties, and tribological behavior of HAMC. This work presents a comprehensive review of recent progress in HAMC study with various reinforcement particles, manufacturing techniques, physical, mechanical, and tribological properties of HAMC. On the other side, this work provides discussion for application, challenges, and future work conducted for HAMC development.",相关：命中主题关键词：cement、concrete、centrifugal casting,可用于方向 B 的问题定位：结合 2021 年论文《Recent Progress in Hybrid Aluminum Composite: Manufacturing and Application》的题录和引用数 76，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,"Functionally graded materials (FGMs): A review of classifications, fabrication methods and their applications",2021,Majid Mohammadi; Masoud Rajabi; Majid Ghadiri,Processing and Application of Ceramics,10.2298/pac2104319m,https://doi.org/10.2298/pac2104319m,71,"Functionally graded materials (FGMs) are new materials whose properties change gradually in respect to their dimensions. This group of materials shows a tremendous improvement of previously used composite materials. FGM consists of two or more materials whose combination enables the achievement of specified properties in accordance with the desired application. The article gives an overview of different classifications, various fabrication methods and applications of the FGMs. It could also provide insight and perspective for researchers, university students and research and development teams since it has brought together diverse aspects of FGMs. As mentioned in section two, we took all FGMs fabrication methods under consideration, giving the reader an insight into how to make a product while satisfying the conditions of financial and mechanical efficiency. The classification section specifically goes over structures, types of gradients, sizes/scales, state of matter and finishes with the manufacturing processes. Section two deep dives into the fabrication methods used in the FGMs, which are divided into three sub-sections, including gas-based, liquid-based and solid-based. Lastly, various applications of the FGMs in different fields and industries, namely aerospace, energy, medicine, military, manufacturing and eventually other applications, are demonstrated.",相关：命中主题关键词：concrete、centrifugal casting,"可用于方向 B 的问题定位：结合 2021 年论文《Functionally graded materials (FGMs): A review of classifications, fabrication methods and their applications》的题录和引用数 71，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
B,Prediction of the Compressive Strength of Vibrocentrifuged Concrete Using Machine Learning Methods,2024,Alexey N. Beskopylny; Sergey A. Stel’makh; Evgenii M. Shcherban’; Levon R. Mailyan; Besarion Meskhi; Irina Razveeva; Alexey Kozhakin; Anton Pembek; Diana El’shaeva; Andrei Chernil’nik; Nikita Beskopylny,Buildings,10.3390/buildings14020377,https://doi.org/10.3390/buildings14020377,26,"The determination of mechanical properties for different building materials is a highly relevant and practical field of application for machine learning (ML) techniques within the construction sector. When working with vibrocentrifuged concrete products and structures, it is crucial to consider factors related to the impact of aggressive environments. Artificial intelligence methods can enhance the prediction of vibrocentrifuged concrete properties through the use of specialized machine learning algorithms for materials’ strength determination. The aim of this article is to establish and evaluate machine learning algorithms, specifically Linear Regression (LR), Support Vector Regression (SVR), Random Forest (RF), CatBoost (CB), for the prediction of compressive strength in vibrocentrifuged concrete under diverse aggressive operational conditions. This is achieved by utilizing a comprehensive database of experimental values obtained in laboratory settings. The following metrics were used to analyze the accuracy of the constructed regression models: Mean Absolute Error (MAE), Mean Squared Error (MSE), Root-Mean-Square Error (RMSE), Mean Absolute Percentage Error (MAPE) and coefficient of determination (R2). The average MAPE in the range from 2% (RF, CB) to 7% (LR, SVR) allowed us to draw conclusions about the possibility of using “smart” algorithms in the development of compositions and quality control of vibrocentrifuged concrete, which ultimately entails the improvement and acceleration of the construction and building materials manufacture. The best model, CatBoost, showed MAE = 0.89, MSE = 4.37, RMSE = 2.09, MAPE = 2% and R2 = 0.94.",相关：命中主题关键词：cement、concrete、cementitious、centrifuged concrete,可用于方向 B 的问题定位：结合 2024 年论文《Prediction of the Compressive Strength of Vibrocentrifuged Concrete Using Machine Learning Methods》的题录和引用数 26，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Experimental Investigation on the Influence of Strength Grade on the Surface Fractal Dimension of Concrete under Sulfuric Acid Attack,2024,Jie Xiao; Hehui Zeng; Huanqiang Huang; Lingfei Liu; Long Li; Bingxiang Yuan; Zucai Zhong,Buildings,10.3390/buildings14030713,https://doi.org/10.3390/buildings14030713,24,"The corrosion of alkaline concrete materials exposed to a sulfuric acid environment is becoming more and more prevalent, and its damage assessment is becoming more and more imperative. This study aims to describe the corroded surfaces of concrete with different strength grades (C30, C50, C80) in sulfuric acid environments in terms of their three-dimensional fractal dimension. Three kinds of concrete with varying strength grades, namely C30, C50, and C80, were immersed in a sulfuric acid solution with pH ≈ 0.85 for four distinct corrosion durations, specifically 0, 28, 56, and 165 days, in accelerated corrosion tests. The 3D laser scanning technique was utilized to capture the 3D coordinates of the surface points of the concrete cylinder before and after corrosion. The fractal dimension of concrete’s uneven surface before and after corrosion was computed via the cube covering method, and the mass loss of the concrete specimen was also obtained. The outcomes demonstrate that the three-dimensional fractal dimension provides a new method for characterizing the degree of corrosion deterioration of concrete samples affected by sulfuric acid via laser scanning technology. From the perspective of the appearance, mass loss, and fractal dimension of a rough surface in the sulfuric acid environment at a pH level of approximately 0.85, the degree of the corrosion deterioration of concrete is ranked from high to low as C80 &gt; C50 &gt; C30. These fractal dimensions of the concrete’s corroded surfaces with various strength grades increase rapidly in the initial period. However, as the corrosion time progresses, the growth rate of the corroded surface fractal dimension gradually decelerates and tends towards stability, which accords with the law of exponential function. The widespread belief is that the higher the strength grade of concrete, the better its durability; however, this pattern varies in sulfuric acid corrosive environments. Therefore, based on this research, it is recommended that in extremely acidic environments (i.e., very low pH), more attention should be paid to high-strength grades of concrete.",相关：命中主题关键词：cement、concrete、cementitious,可用于方向 B 的问题定位：结合 2024 年论文《Experimental Investigation on the Influence of Strength Grade on the Surface Fractal Dimension of Concrete under Sulfuric Acid Attack》的题录和引用数 24，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
B,Predicting load–displacement of driven PHC pipe piles using stacking ensemble with Pareto optimization,2024,Tram Bui-Ngoc; Tan Nguyen; Minh-The Nguyen-Quang; Jim Shiau,Engineering Structures,10.1016/j.engstruct.2024.118574,https://doi.org/10.1016/j.engstruct.2024.118574,23,unclear,相关：命中主题关键词：cement、concrete、pipe pile,可用于方向 B 的问题定位：结合 2024 年论文《Predicting load–displacement of driven PHC pipe piles using stacking ensemble with Pareto optimization》的题录和引用数 23，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review",2023,Tong Zhang; Meng Chen; Yuting Wang; Mingzhong Zhang,Cement and Concrete Composites,10.1016/j.cemconcomp.2023.104994,https://doi.org/10.1016/j.cemconcomp.2023.104994,170,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,"可用于方向 C 的问题定位：结合 2023 年论文《Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review》的题录和引用数 170，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
C,Physico-chemical characterization of cupola slag: Enhancing its utility in construction,2024,Sangita Meshram; S. P. Raut; Jayant Giri; T. Sathish; Salahuddin Khan; Pallavi Giri,AIP Advances,10.1063/5.0219629,https://doi.org/10.1063/5.0219629,158,"Cupola slag is a waste material of the steel and iron industries. Its composition is determined by the cupola furnace and other elements used in steel and iron manufacturing. This paper investigates the characterization behavior of various cupola slag materials. As a result, x-ray fluorescence (XRF), x-ray diffraction (XRD), thermogravimetry differential thermal analysis, and scanning electron microscopy (SEM) methods were used to characterize three cupola slag samples from distinct origins. In addition, various physical properties were used to compare different cupola slags. The specific gravity values of CS-1 (cupola slag-1 sample), CS-2 (cupola slag-2 sample), and CS-3 (cupola slag-3 sample) are 1.36, 2.5, and 2.917, respectively. The density and water absorption for CS-1, CS-2, and CS-3 are 1414.86, 1477.71, and 1796 kg/m3, and 0.37%, 0.32%, and 0.26%, respectively. Cupola slag also includes a larger percentage of lime, according to XRF data, which contributes to its improved binding characteristics. A higher calcium oxide content in CS-3 could facilitate the pozzolanic process. The presence of angular particles that aid in material binding is seen in the SEM image. Compounds with a nanostructure are then flawlessly blended into the mixture and grouped with calcium alumina silicates formed by cement hydration. The XRD pattern of cupola slag exhibits high peaks, indicating that the material is crystalline in character and can be utilized as sand. It also shows the presence of other chemical compounds, such as silica, which ranges from 30% to 45%. CS-1 and CS-2 have comparable XRD patterns. However, CS-3 has a somewhat different pattern because of the greater CaO content. Weight loss begins at higher temperatures, which shows that the material is stable at higher temperatures, according to a thermo-gravimetric study. The differential thermal analysis curve of CS-3 indicates that the material remains stable up to a temperature of 600 °C. The physical characteristics of all cupola slag samples show that cupola slag may be utilized to make sustainable building materials because of its lower specific gravity, density, and water absorption.",相关：命中主题关键词：cement、slag、cement hydration,可用于方向 C 的问题定位：结合 2024 年论文《Physico-chemical characterization of cupola slag: Enhancing its utility in construction》的题录和引用数 158，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,3D printing using concrete extrusion: A roadmap for research,2018,Richard Buswell; W.R. Leal de Silva; Scott Z. Jones; Justin Dirrenberger,Cement and Concrete Research,10.1016/j.cemconres.2018.05.006,https://doi.org/10.1016/j.cemconres.2018.05.006,1465,"Large-scale additive manufacturing processes for construction utilise computer-controlled placement of extruded cement-based mortar to create physical objects layer-by-layer. Demonstrated applications include component manufacture and placement of in-situ walls for buildings. These applications vary the constraints on design parameters and present different technical issues for the production process. In this paper, published and new work are utilised to explore the relationship between fresh and hardened paste, mortar, and concrete material properties and how they influence the geometry of the created object. Findings are classified by construction application to create a matrix of issues that identifies the spectrum of future research exploration in this emerging field.",相关：命中主题关键词：cement、concrete、cement hydration,可用于方向 C 的问题定位：结合 2018 年论文《3D printing using concrete extrusion: A roadmap for research》的题录和引用数 1465，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,Digital Concrete: A Review,2019,Timothy Wangler; Nicolas Roussel; Freek Bos; T.A.M. Salet; Robert J. Flatt,Cement and Concrete Research,10.1016/j.cemconres.2019.105780,https://doi.org/10.1016/j.cemconres.2019.105780,566,unclear,相关：命中主题关键词：cement、concrete,可用于方向 C 的问题定位：结合 2019 年论文《Digital Concrete: A Review》的题录和引用数 566，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
