direction,rank,title,year,authors,venue,doi,url,citation_count,source_database,query
A,11,CO2 Capture by Accelerated Carbonation of Alkaline Wastes: A Review on Its Principles and Applications,2012,Shu-Yuan Pan; E. E. Chang; Pen‐Chi Chiang,Aerosol and Air Quality Research,10.4209/aaqr.2012.06.0149,https://doi.org/10.4209/aaqr.2012.06.0149,428,OpenAlex,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag"
A,12,"Alkaline residues and the environment: a review of impacts, management practices and opportunities",2015,Helena I. Gomes; William M. Mayes; Mike Rogerson; Douglas I. Stewart; Ian T. Burke,Journal of Cleaner Production,10.1016/j.jclepro.2015.09.111,https://doi.org/10.1016/j.jclepro.2015.09.111,390,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,13,Comprehensive utilization of steel slag: A review,2023,Wenhao Gao; Wentao Zhou; Xianjun Lyu; Xiao Liu; Huili Su; Chuanming Li; Hui Wang,Powder Technology,10.1016/j.powtec.2023.118449,https://doi.org/10.1016/j.powtec.2023.118449,373,OpenAlex,"""steel slag"" ""CO2 mineralization"""
A,14,Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification,2019,Lei Wang; Dong-Wan Cho; Daniel C.W. Tsang; Xinde Cao; Deyi Hou; Zhengtao Shen; Daniel S. Alessi; Yong Sik Ok; Chi Sun Poon,Environment International,10.1016/j.envint.2019.02.057,https://doi.org/10.1016/j.envint.2019.02.057,335,OpenAlex,"""carbon dioxide curing"" concrete|""solid waste"" ""accelerated carbonation"" slag"
A,15,Calcium Carbonate Precipitation for CO2 Storage and Utilization: A Review of the Carbonate Crystallization and Polymorphism,2017,Ribooga Chang; Semin Kim; Seungin Lee; Soyoung Choi; Minhee Kim; Youngjune Park,Frontiers in Energy Research,10.3389/fenrg.2017.00017,https://doi.org/10.3389/fenrg.2017.00017,325,OpenAlex,"""steel slag"" ""CO2 mineralization"""
A,16,Technologies for the management of MSW incineration ashes from gas cleaning: New perspectives on recovery of secondary raw materials and circular economy,2018,Margarida J. Quina; Elza Bontempi; Anna Bogush; Stefan Schlumberger; Gisela Weibel; Roberto Braga; Valerio Funari; Jiří Hykš; Erik N. Rasmussen; Jakob Lederer,The Science of The Total Environment,10.1016/j.scitotenv.2018.04.150,https://doi.org/10.1016/j.scitotenv.2018.04.150,313,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,17,"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review",2021,Yongliang Yan; Yongliang Yan; Tohid N. Borhani; Sai Gokul Subraveti; Kasturi Nagesh Pai; Vinay Prasad; Arvind Rajendran; Paula Nkulikiyinka; Jude O. Asibor; Zhien Zhang; Ding Shao; Lijuan Wang; Wenbiao Zhang; Yong Yan; Yong Yan; William Ampomah; Junyu You; Meihong Wang; Edward J. Anthony; Vasilije Manović; Peter T. Clough,Energy & Environmental Science,10.1039/d1ee02395k,https://doi.org/10.1039/d1ee02395k,287,OpenAlex,"""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate"
A,18,Valorization of sewage sludge in the fabrication of construction and building materials: A review,2019,Zhiyang Chang; Guangcheng Long; John L. Zhou; Cong Ma,Resources Conservation and Recycling,10.1016/j.resconrec.2019.104606,https://doi.org/10.1016/j.resconrec.2019.104606,273,OpenAlex,"""hydration kinetics"" cement gravity|""solid waste"" ""accelerated carbonation"" slag"
A,19,Ash Management Review—Applications of Biomass Bottom Ash,2012,Adrian L. James; Ronald W. Thring; Steve S. Helle; Harpuneet Singh Ghuman,Energies,10.3390/en5103856,https://doi.org/10.3390/en5103856,266,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,20,The Use of Municipal Solid Waste Incineration Ash in Various Building Materials: A Belgian Point of View,2018,Aneeta Mary Joseph; Ruben Snellings; Philip Van den Heede; Stijn Matthys; Nele De Belie,Materials,10.3390/ma11010141,https://doi.org/10.3390/ma11010141,265,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
B,1,"Matrix Algorithms, Volume II: Eigensystems",2003,Gordon W. Stewart; Aditya Mahajan,Applied Mechanics Reviews,10.1115/1.1523352,https://doi.org/10.1115/1.1523352,284,OpenAlex,"""centrifugal casting"" concrete"
B,2,Boundary Element Programming in Mechanics,2003,Xiao‐Wei Gao; TG Davies; DE Beskos,Applied Mechanics Reviews,10.1115/1.1523350,https://doi.org/10.1115/1.1523350,271,OpenAlex,"""centrifugal casting"" concrete"
B,3,Functionally graded materials classifications and development trends from industrial point of view,2019,Islam M. El-Galy; Bassiouny Saleh; Mahmoud H. Ahmed,SN Applied Sciences,10.1007/s42452-019-1413-4,https://doi.org/10.1007/s42452-019-1413-4,264,OpenAlex,"""centrifugal casting"" concrete"
B,4,Mathematical Control Theory of Coupled PDEs,2003,Irena Lasiecka; GC Gaunaurd,Applied Mechanics Reviews,10.1115/1.1523354,https://doi.org/10.1115/1.1523354,155,OpenAlex,"""centrifugal casting"" concrete"
B,5,Novel Applications of Aluminium Metal Matrix Composites,2019,Francis Nturanabo; Leonard Masu; John Baptist Kirabira,IntechOpen eBooks,10.5772/intechopen.86225,https://doi.org/10.5772/intechopen.86225,144,OpenAlex,"""centrifugal casting"" concrete"
B,6,Advances in lightweight composite structures and manufacturing technologies: A comprehensive review,2024,Resego Phiri; Sanjay Mavinkere Rangappa; Suchart Siengchin; Oluseyi Philip Oladijo; Togay Ozbakkaloglu,Heliyon,10.1016/j.heliyon.2024.e39661,https://doi.org/10.1016/j.heliyon.2024.e39661,142,OpenAlex,"""centrifugal casting"" concrete"
B,7,Recent Trends in Treatment and Fabrication of Plant-Based Fiber-Reinforced Epoxy Composite: A Review,2023,Abdullahi Haruna Birniwa; Shehu Sa’ad Abdullahi; Mujahid Ali; Rania Edrees Adam Mohammad; Ahmad Hussaini Jagaba; Mugahed Amran; Siva Avudaiappan; Nelson Maureira-Carsalade; Erick I. Saavedra Flores,Journal of Composites Science,10.3390/jcs7030120,https://doi.org/10.3390/jcs7030120,115,OpenAlex,"""centrifugal casting"" concrete"
B,8,Characterisation of Ground Thermal and Thermo-Mechanical Behaviour for Shallow Geothermal Energy Applications,2017,Ana Vieira; Maria Alberdi-Pagola; Paul Christodoulides; Saqib Javed; Fleur Loveridge; Frédéric Nguyen; Francesco Cecinato; J. R. Maranha; Georgios A. Florides; Iulia Prodan; Gust Van Lysebetten; Elsa Ramalho; Diana Salciarini; Aleksandar Georgiev; S. Rosin-Paumier; Rumen Popov; Stanislav Lenart; Søren Erbs Poulsen; Georgia Radioti,Energies,10.3390/en10122044,https://doi.org/10.3390/en10122044,110,OpenAlex,"""spun concrete"" pipe pile"
B,9,Advancements in Fiber-Reinforced Polymer Composites: A Comprehensive Analysis,2023,Alin Diniță; Răzvan George Rîpeanu; Costin Nicolae Ilincă; Diana Cursaru; Dănuţa Matei; Ibrahim Ramadan; Maria Tănase; Alexandra Ileana Portoacă,Polymers,10.3390/polym16010002,https://doi.org/10.3390/polym16010002,106,OpenAlex,"""centrifugal casting"" concrete"
B,10,Traffic generated non-exhaust particulate emissions from concrete pavement: A mass and particle size study for two-wheelers and small cars,2009,Aatmeeyata; D. S. Kaul; Mukesh Sharma,Atmospheric Environment,10.1016/j.atmosenv.2009.07.032,https://doi.org/10.1016/j.atmosenv.2009.07.032,85,OpenAlex,"""centrifugal casting"" concrete"
B,11,Recent Progress in Hybrid Aluminum Composite: Manufacturing and Application,2021,Elvira Wahyu Arum Fanani; Eko Surojo; Aditya Rio Prabowo; Hammar Ilham Akbar,Metals,10.3390/met11121919,https://doi.org/10.3390/met11121919,76,OpenAlex,"""centrifugal casting"" concrete"
B,12,"Functionally graded materials (FGMs): A review of classifications, fabrication methods and their applications",2021,Majid Mohammadi; Masoud Rajabi; Majid Ghadiri,Processing and Application of Ceramics,10.2298/pac2104319m,https://doi.org/10.2298/pac2104319m,71,OpenAlex,"""centrifugal casting"" concrete"
B,13,Development of High-performance Roll by Continuous Pouring Process for Cladding.,1992,Mitsuo Hashimoto; Seizi Otomo; Kouichiro Yoshida; Kazuo Kimura; Ryurou Kurahashi; Tamotsu Kawakami; Takahiko Kouga,ISIJ International,10.2355/isijinternational.32.1202,https://doi.org/10.2355/isijinternational.32.1202,60,OpenAlex,"""centrifugal casting"" concrete"
B,14,Experimental investigation on recycled aggregate concrete filled steel tubular stub columns under axial compression,2021,Vanessa da Silva de Azevedo; L.R.O. de Lima; P.C.G. da S. Vellasco; Maria Elizabeth da Nóbrega Tavares; Tak‐Ming Chan,Journal of Constructional Steel Research,10.1016/j.jcsr.2021.106930,https://doi.org/10.1016/j.jcsr.2021.106930,59,OpenAlex,"""centrifugal concrete"" durability"
B,15,Jacking Force Prediction: An Interface Friction Approach based on Pipe Surface Roughness,2006,Kimberlie Staheli,UPT. Syiah Kuala University Library (Syiah Kuala University),unclear,http://hdl.handle.net/1853/11565,49,OpenAlex,"""centrifugal casting"" concrete|""centrifugally cast"" concrete pile|""spun concrete"" pipe pile"
B,16,Unsaturated Polyesters and Vinyl Esters,2013,Andreas Kandelbauer; Gianluca Tondi; Oscar C. Zaske; Sidney H. Goodman,Elsevier eBooks,10.1016/b978-1-4557-3107-7.00006-3,https://doi.org/10.1016/b978-1-4557-3107-7.00006-3,49,OpenAlex,"""centrifugal casting"" concrete"
B,17,Utilization of Groundnut Shell as Reinforcement in Development of Aluminum Based Composite to Reduce Environment Pollution: a review,2020,Prakash Dwivedi; Manish Maurya; Kumar Maurya; Kumar Srivastava; Satpal Sharma; Ambuj Saxena,Evergreen,10.5109/2740937,https://doi.org/10.5109/2740937,46,OpenAlex,"""centrifugal casting"" concrete"
B,18,Shear Strength Prediction of Slender Steel Fiber Reinforced Concrete Beams Using a Gradient Boosting Regression Tree Method,2022,Amjed Shatnawi; Hana Mahmood Alkassar; Nadia Moneem Al-Abdaly; Emadaldeen A. Al-Hamdany; Luís Filipe Almeida Bernardo; Hamza Imran,Buildings,10.3390/buildings12050550,https://doi.org/10.3390/buildings12050550,43,OpenAlex,"""centrifugal forming"" concrete"
B,19,Nanomodification of Lightweight Fiber Reinforced Concrete with Micro Silica and Its Influence on the Constructive Quality Coefficient,2021,Evgenii M. Shcherban’; Sergey A. Stel’makh; Alexey N. Beskopylny; Levon R. Mailyan; Besarion Meskhi; В. Н. Варавка,Materials,10.3390/ma14237347,https://doi.org/10.3390/ma14237347,40,OpenAlex,"""centrifuged concrete"""
B,20,Field Test and Numerical Simulation on the Long-Term Thermal Response of PHC Energy Pile in Layered Foundation,2021,Guozhu Zhang; Ziming Cao; Yiping Liu; Jiawei Chen,Sensors,10.3390/s21113873,https://doi.org/10.3390/s21113873,39,OpenAlex,"""spun concrete"" pipe pile"
C,1,3D printing using concrete extrusion: A roadmap for research,2018,Richard Buswell; W.R. Leal de Silva; Scott Z. Jones; Justin Dirrenberger,Cement and Concrete Research,10.1016/j.cemconres.2018.05.006,https://doi.org/10.1016/j.cemconres.2018.05.006,1465,OpenAlex,"""cement hydration"" gravity"
C,2,Cementation of sand soil by microbially induced calcite precipitation at various degrees of saturation,2013,Liang Cheng; R. Cord‐Ruwisch; Mohamed A. Shahin,Canadian Geotechnical Journal,10.1139/cgj-2012-0023,https://doi.org/10.1139/cgj-2012-0023,743,OpenAlex,"""cement hydration"" gravity"
C,3,Digital Concrete: A Review,2019,Timothy Wangler; Nicolas Roussel; Freek Bos; T.A.M. Salet; Robert J. Flatt,Cement and Concrete Research,10.1016/j.cemconres.2019.105780,https://doi.org/10.1016/j.cemconres.2019.105780,566,OpenAlex,"""hydration kinetics"" cement gravity"
C,4,"Extrusion-based additive manufacturing with cement-based materials – Production steps, processes, and their underlying physics: A review",2020,Viktor Mechtcherine; Freek Bos; Arnaud Perrot; W.R. Leal da Silva; Venkatesh Naidu Nerella; Shirin Fataei; Rob Wolfs; Mohammed Sonebi; Nicolas Roussel,Cement and Concrete Research,10.1016/j.cemconres.2020.106037,https://doi.org/10.1016/j.cemconres.2020.106037,546,OpenAlex,"""cement hydration"" gravity"
C,5,Development of geopolymer mortar under ambient temperature for in situ applications,2016,Mohammed Haloob Al-Majidi; Ανδρέας Λαμπρόπουλος; Andrew B. Cundy; S. T. Meikle,Construction and Building Materials,10.1016/j.conbuildmat.2016.05.085,https://doi.org/10.1016/j.conbuildmat.2016.05.085,403,OpenAlex,"""hydration kinetics"" cement gravity"
C,6,Multi-scale Modeling of Concrete Performance,2003,Koichi Maekawa; Tetsuya Ishida; Toshiharu Kishi,Journal of Advanced Concrete Technology,10.3151/jact.1.91,https://doi.org/10.3151/jact.1.91,399,OpenAlex,"""cement hydration"" gravity"
C,7,Effect of Metakaolin Content on the Properties of High Strength Concrete,2013,P. Dinakar; Pradosh K. Sahoo; G. Sriram,International Journal of Concrete Structures and Materials,10.1007/s40069-013-0045-0,https://doi.org/10.1007/s40069-013-0045-0,298,OpenAlex,"""cement hydration"" gravity"
C,8,Determination of cement hydration and pozzolanic reaction extents for fly-ash cement pastes,2011,Qiang Zeng; Kefei Li; Teddy Fen-Chong; Patrick Dangla,Construction and Building Materials,10.1016/j.conbuildmat.2011.07.007,https://doi.org/10.1016/j.conbuildmat.2011.07.007,290,OpenAlex,"""cement hydration"" gravity"
C,9,Improving printability of limestone-calcined clay-based cementitious materials by using viscosity-modifying admixture,2020,Yu Chen; Stefan Chaves Figueiredo; Zhenming Li; Ze Chang; Koen Jansen; Oğuzhan Çopuroğlu; Erik Schlangen,Cement and Concrete Research,10.1016/j.cemconres.2020.106040,https://doi.org/10.1016/j.cemconres.2020.106040,283,OpenAlex,"""hydration kinetics"" cement gravity"
C,10,Thermal treatment of kaolin clay to obtain metakaolin,2010,Biljana Ilić; Aleksandra Mitrović; Ljiljana Miličić,Hemijska industrija,10.2298/hemind100322014i,https://doi.org/10.2298/hemind100322014i,282,OpenAlex,"""cement hydration"" gravity"
C,11,The Role of Al in Cross‐Linking of Alkali‐Activated Slag Cements,2014,Rupert J. Myers; Susan A. Bernal; John D. Gehman; J.S.J. van Deventer; John L. Provis,Journal of the American Ceramic Society,10.1111/jace.13360,https://doi.org/10.1111/jace.13360,275,OpenAlex,"""hydration kinetics"" cement gravity"
C,12,Valorization of sewage sludge in the fabrication of construction and building materials: A review,2019,Zhiyang Chang; Guangcheng Long; John L. Zhou; Cong Ma,Resources Conservation and Recycling,10.1016/j.resconrec.2019.104606,https://doi.org/10.1016/j.resconrec.2019.104606,273,OpenAlex,"""hydration kinetics"" cement gravity|""solid waste"" ""accelerated carbonation"" slag"
C,13,Recent advances on yield stress and elasticity of fresh cement-based materials,2019,Nicolas Roussel; Hela Bessaies-Bey; Shiho Kawashima; Delphine Marchon; Ksenija Vasilić; Rob Wolfs,Cement and Concrete Research,10.1016/j.cemconres.2019.105798,https://doi.org/10.1016/j.cemconres.2019.105798,237,OpenAlex,"""hydration kinetics"" cement gravity"
C,14,"Effect of nano-silica particles on the hydration, the rheology and the strength development of a blended cement paste",2018,F. Lavergne; Rachid Belhadi; J. Carriat; Amor Ben Fraj,Cement and Concrete Composites,10.1016/j.cemconcomp.2018.10.007,https://doi.org/10.1016/j.cemconcomp.2018.10.007,200,OpenAlex,"""hydration kinetics"" cement gravity"
C,15,"Influence of SiO2, TiO2 and Fe2O3 nanoparticles on the properties of fly ash blended cement mortars",2020,Ding Siang Ng; Suvash Chandra Paul; Vivi Anggraini; Sih Ying Kong; Tanvir Qureshi; Claudia Romero Rodríguez; Qingfeng Liu; Branko Šavija,Construction and Building Materials,10.1016/j.conbuildmat.2020.119627,https://doi.org/10.1016/j.conbuildmat.2020.119627,176,OpenAlex,"""hydration kinetics"" cement gravity"
C,16,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review",2023,Tong Zhang; Meng Chen; Yuting Wang; Mingzhong Zhang,Cement and Concrete Composites,10.1016/j.cemconcomp.2023.104994,https://doi.org/10.1016/j.cemconcomp.2023.104994,170,OpenAlex,"""CO2 curing"" cementitious materials|""carbonated recycled concrete fines""|""hydration kinetics"" cement gravity|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag"
C,17,Understanding the behaviour of graphene oxide in Portland cement paste,2018,Sam Ghazizadeh; Philippe Duffour; Neal T. Skipper; Yun Bai,Cement and Concrete Research,10.1016/j.cemconres.2018.05.016,https://doi.org/10.1016/j.cemconres.2018.05.016,164,OpenAlex,"""cement hydration"" ""microgravity""|""cement paste"" ""microgravity"" hydration|""cementitious materials"" ""microgravity""|""microgravity"" ""cement paste"""
C,18,Bingham’s model in the oil and gas industry,2017,I.A. Frigaard; Kristofer Paso; Paulo R. de Souza Mendes,Rheologica Acta,10.1007/s00397-017-0999-y,https://doi.org/10.1007/s00397-017-0999-y,161,OpenAlex,"""hydration kinetics"" cement gravity"
C,19,Physico-chemical characterization of cupola slag: Enhancing its utility in construction,2024,Sangita Meshram; S. P. Raut; Jayant Giri; T. Sathish; Salahuddin Khan; Pallavi Giri,AIP Advances,10.1063/5.0219629,https://doi.org/10.1063/5.0219629,158,OpenAlex,"""cement hydration"" gravity"
C,20,Factors influencing the sulfate balance in pure phase C3S/C3A systems,2020,Franco Zunino; Karen Scrivener,Cement and Concrete Research,10.1016/j.cemconres.2020.106085,https://doi.org/10.1016/j.cemconres.2020.106085,157,OpenAlex,"""hydration kinetics"" cement gravity"
D,1,Strategies for mitigation of climate change: a review,2020,Samer Fawzy; Ahmed I. Osman; John Doran; David W. Rooney,Environmental Chemistry Letters,10.1007/s10311-020-01059-w,https://doi.org/10.1007/s10311-020-01059-w,1428,OpenAlex,"""CO2 sequestration"" concrete curing|""process intensification"" ""mineral carbonation""|""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
D,2,"Carbonation of cement paste: Understanding, challenges, and opportunities",2016,Branko Šavija; Mladena Luković,Construction and Building Materials,10.1016/j.conbuildmat.2016.04.138,https://doi.org/10.1016/j.conbuildmat.2016.04.138,792,OpenAlex,"""CO2 sequestration"" concrete curing|""carbonation curing"" recycled aggregate concrete"
D,3,Microstructure of cement paste subject to early carbonation curing,2011,Vahid Rostami; Yixin Shao; Andrew J. Boyd; Zhen He,Cement and Concrete Research,10.1016/j.cemconres.2011.09.010,https://doi.org/10.1016/j.cemconres.2011.09.010,642,OpenAlex,"""carbonation curing"" concrete strength|""early age carbonation"" cement paste"
D,4,The utilization of eco-friendly recycled powder from concrete and brick waste in new concrete: A critical review,2020,Qin Tang; Zhiming Ma; Huixia Wu; Wan Wang,Cement and Concrete Composites,10.1016/j.cemconcomp.2020.103807,https://doi.org/10.1016/j.cemconcomp.2020.103807,504,OpenAlex,"""CO2 curing"" cementitious materials|""CO2 curing"" concrete strength"
D,5,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 curing"" cementitious materials|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" recycled aggregate concrete|""mineral carbonation"" ""cement replacement""|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization"""
D,6,Use of a CO2 curing step to improve the properties of concrete prepared with recycled aggregates,2013,Shi-Cong Kou; Baojian Zhan; Chi Sun Poon,Cement and Concrete Composites,10.1016/j.cemconcomp.2013.09.008,https://doi.org/10.1016/j.cemconcomp.2013.09.008,424,OpenAlex,"""CO2 curing"" concrete strength"
D,7,Microstructural densification and CO2 uptake promoted by the carbonation curing of belite-rich Portland cement,2016,Jeong Gook Jang; Beomjoo Yang,Cement and Concrete Research,10.1016/j.cemconres.2016.01.001,https://doi.org/10.1016/j.cemconres.2016.01.001,386,OpenAlex,"""carbonation curing"" cement mortar"
D,8,Recent Progress in Green Cement Technology Utilizing Low-Carbon Emission Fuels and Raw Materials: A Review,2019,Ali Naqi; Jeong Gook Jang,Sustainability,10.3390/su11020537,https://doi.org/10.3390/su11020537,386,OpenAlex,"""carbonation curing"" recycled aggregate concrete"
D,9,Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification,2019,Lei Wang; Dong-Wan Cho; Daniel C.W. Tsang; Xinde Cao; Deyi Hou; Zhengtao Shen; Daniel S. Alessi; Yong Sik Ok; Chi Sun Poon,Environment International,10.1016/j.envint.2019.02.057,https://doi.org/10.1016/j.envint.2019.02.057,335,OpenAlex,"""carbon dioxide curing"" concrete|""solid waste"" ""accelerated carbonation"" slag"
D,10,Mechanical performance and microstructure of the calcium carbonate binders produced by carbonating steel slag paste under CO2 curing,2016,Liwu Mo; Feng Zhang; Min Deng,Cement and Concrete Research,10.1016/j.cemconres.2016.05.013,https://doi.org/10.1016/j.cemconres.2016.05.013,329,OpenAlex,"""accelerated carbonation"" cement paste curing"
D,11,Accelerated carbonation and performance of concrete made with steel slag as binding materials and aggregates,2017,Liwu Mo; Feng Zhang; Min Deng; Fei Jin; Abir Al‐Tabbaa; Aiguo Wang,Cement and Concrete Composites,10.1016/j.cemconcomp.2017.07.018,https://doi.org/10.1016/j.cemconcomp.2017.07.018,328,OpenAlex,"""CO2 curing"" cementitious materials|""CO2 curing"" concrete strength|""carbonation curing"" concrete strength"
D,12,Impact of hydrated magnesium carbonate additives on the carbonation of reactive MgO cements,2013,Cise Unluer; Abir Al‐Tabbaa,Cement and Concrete Research,10.1016/j.cemconres.2013.08.009,https://doi.org/10.1016/j.cemconres.2013.08.009,328,OpenAlex,"""carbonation curing"" recycled aggregate concrete|""mineral carbonation"" ""cement replacement"""
D,13,Discontinuous micro-fibers as intrinsic reinforcement for ductile Engineered Cementitious Composites (ECC),2020,Duo Zhang; Jing Yu; Haoliang Wu; Beata Jaworska; Brian R. Ellis; Victor C. Li,Composites Part B Engineering,10.1016/j.compositesb.2020.107741,https://doi.org/10.1016/j.compositesb.2020.107741,326,OpenAlex,"""CO2 curing"" cementitious materials|""carbonation curing"" recycled aggregate concrete"
D,14,Effect of carbonation curing regime on strength and microstructure of Portland cement paste,2019,Tiefeng Chen; Xiaojian Gao,unclear,10.1016/j.jcou.2019.05.034,https://www.semanticscholar.org/paper/7e5e83880e954f6c1fef96e4562fe63dbaa4e8be,313,Semantic Scholar,"""carbonation curing"" cement mortar|""early age carbonation"" cement paste"
D,15,Green construction for low-carbon cities: a review,2023,Lin Chen; Lepeng Huang; Jianmin Hua; Zhonghao Chen; Lilong Wei; Ahmed I. Osman; Samer Fawzy; David W. Rooney; Liang Dong; Pow‐Seng Yap,Environmental Chemistry Letters,10.1007/s10311-022-01544-4,https://doi.org/10.1007/s10311-022-01544-4,304,OpenAlex,"""carbon dioxide curing"" concrete"
