row_index,title,field,value
160,High-efficiency CO2 sequestration through direct aqueous carbonation of carbide slag: determination of carbonation reaction and optimization of operation parameters,abstract,unclear
160,High-efficiency CO2 sequestration through direct aqueous carbonation of carbide slag: determination of carbonation reaction and optimization of operation parameters,open_access_pdf,unclear
161,Performance and mechanisms of alkaline solid waste in CO2 mineralization and utilization,abstract,unclear
161,Performance and mechanisms of alkaline solid waste in CO2 mineralization and utilization,open_access_pdf,unclear
162,"Vitrification of CO2-mineralized steel slag residual: A study on the formulation, high-temperature viscosity-component correlation and chemical durability of glass",abstract,unclear
162,"Vitrification of CO2-mineralized steel slag residual: A study on the formulation, high-temperature viscosity-component correlation and chemical durability of glass",open_access_pdf,unclear
163,"Research on the Leaching of Calcium Ions from De-vanadiumized Steel Slag for Indirect CO2 Mineral Sequestration: Thermodynamics, Kinetics, and Parameter Optimization",abstract,unclear
163,"Research on the Leaching of Calcium Ions from De-vanadiumized Steel Slag for Indirect CO2 Mineral Sequestration: Thermodynamics, Kinetics, and Parameter Optimization",open_access_pdf,unclear
165,Coupled influence of acidic impurities in incineration flue gas on CO2 mineralization and phase composition of steel slag-based aggregates,abstract,unclear
165,Coupled influence of acidic impurities in incineration flue gas on CO2 mineralization and phase composition of steel slag-based aggregates,open_access_pdf,unclear
167,Exploring the Enhancement on CO<sub>2</sub> Mineralization of Solid Wastes via Amine-Looping,open_access_pdf,unclear
168,Carbon Dioxide Capture by Electrochemical Mineralization,abstract,unclear
169,Effect of CO2 mineralization on phase evolution and microstructure development of blended cement formulated with large proportion of steel slag,open_access_pdf,unclear
170,Direct CO<sub>2</sub> Mineralization of Steel Slag Accelerated by <i>Sporosarcina pasteurii</i>,open_access_pdf,unclear
171,Impurities in Steel Slag during the CO<sub>2</sub> Mineralization: Optimization and Multicycle Operation,open_access_pdf,unclear
172,Ecological Utilization of the CO<sub>2</sub> Mineralization Using Alkaline Solid Wastes: Synthesis of Porous Materials for Sandy Soil Restoration,open_access_pdf,unclear
173,"Advancements in Carbon Capture, Utilization, and Storage (CCUS): A Comprehensive Review of Technologies and Prospects",open_access_pdf,unclear
174,Future and emerging supplementary cementitious materials,abstract,unclear
177,"Vitrification of Co2-Mineralized Steel Slag Residual: A Study on the Formulation, High-Temperature Viscosity-Component Correlation and Chemical Durability of Glass",abstract,unclear
177,"Vitrification of Co2-Mineralized Steel Slag Residual: A Study on the Formulation, High-Temperature Viscosity-Component Correlation and Chemical Durability of Glass",open_access_pdf,unclear
178,CO2 mineralization of steel slag,venue,unclear
178,CO2 mineralization of steel slag,abstract,unclear
178,CO2 mineralization of steel slag,open_access_pdf,unclear
179,Carbonated steel slags as supplementary cementitious materials: Reaction kinetics and phase evolution,open_access_pdf,unclear
183,High-Temperature CO2 Mineralization of As-Cast Steel Slag Blocks Assisted by Sodium Addition,abstract,unclear
183,High-Temperature CO2 Mineralization of As-Cast Steel Slag Blocks Assisted by Sodium Addition,open_access_pdf,unclear
184,Molecular-scale mechanisms of CO2 mineralization in nanoscale interfacial water films,abstract,unclear
185,Gas–solid carbonation kinetics of Air Pollution Control residues for CO2 storage,abstract,unclear
186,CO2 sequestration through aqueous accelerated carbonation of BOF slag: A factorial study of parameters effects,abstract,unclear
186,CO2 sequestration through aqueous accelerated carbonation of BOF slag: A factorial study of parameters effects,open_access_pdf,unclear
187,Thin-film versus slurry-phase carbonation of steel slag: CO2 uptake and effects on mineralogy,abstract,unclear
187,Thin-film versus slurry-phase carbonation of steel slag: CO2 uptake and effects on mineralogy,open_access_pdf,unclear
188,"CO2 sequestration utilizing basic-oxygen furnace slag: Controlling factors, reaction mechanisms and V–Cr concerns",abstract,unclear
188,"CO2 sequestration utilizing basic-oxygen furnace slag: Controlling factors, reaction mechanisms and V–Cr concerns",open_access_pdf,unclear
189,Effect of basic oxygen furnace slag type on carbon dioxide sequestration from landfill gas emissions,abstract,unclear
189,Effect of basic oxygen furnace slag type on carbon dioxide sequestration from landfill gas emissions,open_access_pdf,unclear
190,Unveiling the impact of carbonation treatment on BOF slag hydration activity: Formation and development of the barrier layer,abstract,unclear
190,Unveiling the impact of carbonation treatment on BOF slag hydration activity: Formation and development of the barrier layer,open_access_pdf,unclear
191,Carbon-Dioxide and Hydrogen-Sulfide Removal from Simulated Landfill Gas Using Steel Slag,open_access_pdf,unclear
192,Crystallization behavior of BOF slag during the cooling process towards leaching for CO2 sequestration,abstract,unclear
192,Crystallization behavior of BOF slag during the cooling process towards leaching for CO2 sequestration,open_access_pdf,unclear
194,Innovative Biogeochemical Cover to Mitigate Landfill Gas Emissions: Investigation of Controlling Parameters Based on Batch and Column Experiments,abstract,unclear
194,Innovative Biogeochemical Cover to Mitigate Landfill Gas Emissions: Investigation of Controlling Parameters Based on Batch and Column Experiments,open_access_pdf,unclear
195,Sequestration of Landfill Gas Emissions Using Basic Oxygen Furnace Slag: Effects of Moisture Content and Humid Gas Flow Conditions,open_access_pdf,unclear
196,Review of carbon sequestration by alkaline industrial wastes: potential applications in landfill biogeochemical cover systems,abstract,unclear
196,Review of carbon sequestration by alkaline industrial wastes: potential applications in landfill biogeochemical cover systems,open_access_pdf,unclear
197,Evaluating the efficacy of biogeochemical cover system in mitigating landfill gas emissions: A large-scale laboratory simulation,abstract,unclear
197,Evaluating the efficacy of biogeochemical cover system in mitigating landfill gas emissions: A large-scale laboratory simulation,open_access_pdf,unclear
198,Accelerated carbonation and stabilization of BOF slag: data fitting relationship between particle size and CO <sub>2</sub> sequestration,open_access_pdf,unclear
199,Enhanced Carbonation of Free CaO in Basic Oxygen Furnace Slag Under High Temperature and Moderate Pressure and Its Kinetics,abstract,unclear
199,Enhanced Carbonation of Free CaO in Basic Oxygen Furnace Slag Under High Temperature and Moderate Pressure and Its Kinetics,open_access_pdf,unclear
200,Effect of Moisture Content on CO <sub>2</sub> Sequestration by BOF Slag in Landfill Cover,open_access_pdf,unclear
201,Recycling and utilization of high volume converter steel slag into CO2 activated mortars – The role of slag particle size,abstract,unclear
202,Valorization of converter steel slag into eco-friendly ultra-high performance concrete by ambient CO2 pre-treatment,abstract,unclear
204,Effects of carbonation on the retention of heavy metals in chemically activated BOF slag pastes,open_access_pdf,unclear
205,Region prioritization for the development of carbon capture and utilization technologies,open_access_pdf,unclear
207,Dipotassium hydrogen phosphate activated Al-rich steel slag: The role of layered double hydroxides and aluminum hydrate gel,open_access_pdf,unclear
209,Microbial Characterization of Soil and Biochar Amended Soil in Landfill Cover,abstract,unclear
209,Microbial Characterization of Soil and Biochar Amended Soil in Landfill Cover,open_access_pdf,unclear
211,Carbon dioxide removal could result in the use of lower-grade iron ore in a decarbonized net-negative emission steel industry,abstract,unclear
215,Sustainable building material from CO2 mineralization slag: Aggregate for concretes and effect of CO2 curing,abstract,unclear
215,Sustainable building material from CO2 mineralization slag: Aggregate for concretes and effect of CO2 curing,open_access_pdf,unclear
216,Preparation of ultra-high strength carbonated compacts via accelerated carbonation of magnesium slag,open_access_pdf,unclear
217,Validating carbonation parameters of alkaline solid wastes via integrated thermal analyses: Principles and applications,abstract,unclear
217,Validating carbonation parameters of alkaline solid wastes via integrated thermal analyses: Principles and applications,open_access_pdf,unclear
218,Utilization of magnesium slag to prepare CO2 solidified fiber cement board,abstract,unclear
218,Utilization of magnesium slag to prepare CO2 solidified fiber cement board,open_access_pdf,unclear
220,Quantitative analysis of CO2 uptake by alkaline solid wastes in China,abstract,unclear
220,Quantitative analysis of CO2 uptake by alkaline solid wastes in China,open_access_pdf,unclear
221,Effect of white mud on carbonation resistance of alkali activated slag,abstract,unclear
221,Effect of white mud on carbonation resistance of alkali activated slag,open_access_pdf,unclear
222,CHARACTERIZATION OF CARBONATED STEELMAKING SLAG AND ITS POTENTIAL APPLICATION IN CONSTRUCTION,open_access_pdf,unclear
223,Accelerated carbonation of steel slag for enhanced carbon capture and utilization as aggregate in alkali-activated materials,open_access_pdf,unclear
224,Low-calcium CO2 sequestration materials prepared with full-component solid waste based on lithium slag as crystal regulator,abstract,unclear
224,Low-calcium CO2 sequestration materials prepared with full-component solid waste based on lithium slag as crystal regulator,open_access_pdf,unclear
225,"Evaluation of the combined deterioration by freeze–thaw and carbonation of mortar incorporating BFS, limestone powder and calcium sulfate",abstract,unclear
225,"Evaluation of the combined deterioration by freeze–thaw and carbonation of mortar incorporating BFS, limestone powder and calcium sulfate",open_access_pdf,unclear
228,Mineral carbonation,abstract,unclear
228,Mineral carbonation,open_access_pdf,unclear
229,Utilization of Carbonation Products,venue,unclear
229,Utilization of Carbonation Products,abstract,unclear
229,Utilization of Carbonation Products,open_access_pdf,unclear
231,Alkali-activated aluminosilicate industrial wastes as alternative binders in precast concrete elements,abstract,unclear
231,Alkali-activated aluminosilicate industrial wastes as alternative binders in precast concrete elements,open_access_pdf,unclear
232,Performance comparison of solid waste-derived sulfoaluminate cement and Portland cement under air curing and CO2 curing,abstract,unclear
232,Performance comparison of solid waste-derived sulfoaluminate cement and Portland cement under air curing and CO2 curing,open_access_pdf,unclear
234,Investigation on the CO2 curing enhancement mechanism of artificial aggregates derived from carbide slag and magnesium slag,abstract,unclear
234,Investigation on the CO2 curing enhancement mechanism of artificial aggregates derived from carbide slag and magnesium slag,open_access_pdf,unclear
235,Research on the resource utilization of sewage sludge ash and steel slag in magnesium oxysulfate cement and the carbonation curing effect,abstract,unclear
235,Research on the resource utilization of sewage sludge ash and steel slag in magnesium oxysulfate cement and the carbonation curing effect,open_access_pdf,unclear
236,Optimized Ca/Si ratio design for ultra-high strength carbon mineralization materials: Integrating synergistic mineral effects and crystal grain size enhancement,abstract,unclear
236,Optimized Ca/Si ratio design for ultra-high strength carbon mineralization materials: Integrating synergistic mineral effects and crystal grain size enhancement,open_access_pdf,unclear
237,Accelerated carbonation of MSWI fly ash as a supplementary precursor in alkali-activated materials,open_access_pdf,unclear
239,Accelerated aqueous carbonation of phosphorous slag driven by grinding force: The role of depolymerization of glassy network,abstract,unclear
239,Accelerated aqueous carbonation of phosphorous slag driven by grinding force: The role of depolymerization of glassy network,open_access_pdf,unclear
242,Substantial global carbon uptake by cement carbonation,abstract,unclear
247,"Comparison of reactive magnesia, quick lime, and ordinary Portland cement for stabilization/solidification of heavy metal-contaminated soils",abstract,unclear
248,Valorization of sewage sludge in the fabrication of construction and building materials: A review,abstract,unclear
252,Carbon dioxide sequestration by mineral carbonation,venue,unclear
252,Carbon dioxide sequestration by mineral carbonation,open_access_pdf,unclear
253,Geopolymers in construction - recent developments,abstract,unclear
257,Effect of Disperse Reinforcement on the Structural Quality Factor of Vibrated and Centrifuged Concretes on the Сombined Aggregate,open_access_pdf,unclear
258,Efficiency Comparison of Fiber Reinforcement in Vibrated аnd Centrifuged Concretes at Different Types of the Applied Heavy Aggregate,open_access_pdf,unclear
259,SELECTION OF THE COMPOSITION OF CENTRIFUGED CONCRETE ON HEAVY FILL-ERS,abstract,unclear
261,OPTIMIZATION OF TECHNOLOGICAL PARAMETERS FOR MANUFACTURING CENTRIFUGED CONCRETE SAMPLES OF ANNULAR SECTION,abstract,unclear
261,OPTIMIZATION OF TECHNOLOGICAL PARAMETERS FOR MANUFACTURING CENTRIFUGED CONCRETE SAMPLES OF ANNULAR SECTION,open_access_pdf,unclear
262,Study of changes in strength properties along section thickness of high-strength centrifuged and vibro-centrifuged concrete,open_access_pdf,unclear
264,Dependence of the integral strength characteristics of vibro-centrifuged concrete on technological vibration factors,open_access_pdf,unclear
266,"Analysis of concrete deformation diagram, received by different ways of formation, and their separate layers",open_access_pdf,unclear
270,Influence of Type of Filler and Dispersive Reinforcement on the Nature of Structured Formation and Deformative Properties of Vibrocentrifuged Concrete,open_access_pdf,unclear
272,Composition and Properties of Lightweight Concrete of Variotropic Structure Based on Combined Aggregate and Microsilica,open_access_pdf,unclear
273,Study of thermophysical characteristics of variatropic concretes,open_access_pdf,unclear
274,Prescription and Technological Aspects of Manufacturing High-Quality Centrifuged Products and Structures from Heavy Concrete,open_access_pdf,unclear
275,Assessment of the impact of the electromagnetic field of the catenary system on crack formation in reinforced concrete supports,open_access_pdf,unclear
276,The research on bearing capacity of supports with annular section,open_access_pdf,unclear
277,Experimental investigation and statistical evaluation of mechanical properties of centrifuged PHC pipe pile concrete,abstract,unclear
277,Experimental investigation and statistical evaluation of mechanical properties of centrifuged PHC pipe pile concrete,open_access_pdf,unclear
279,"Aggregate and Local Characteristics of Vibrated (V), Centrifuged (CF), and Vibro-Centrifuged (VCF) Concretes",abstract,unclear
279,"Aggregate and Local Characteristics of Vibrated (V), Centrifuged (CF), and Vibro-Centrifuged (VCF) Concretes",open_access_pdf,unclear
280,Dependence of structural and stress-strain variatropic efficiency coefficients of spun concrete on grain size composition of coarse aggregate,open_access_pdf,unclear
281,Variatropic efficiency of centrifugal lightened concrete based on combined fillers,open_access_pdf,unclear
285,Analytical Method for the Bearing Capacity of the Centrifuge Concrete Filled Thin-walled Steel Tubula under Torsion,venue,unclear
285,Analytical Method for the Bearing Capacity of the Centrifuge Concrete Filled Thin-walled Steel Tubula under Torsion,open_access_pdf,unclear
286,Study of integral and differential strength and deformation characteristics of centrifuged and vibrating centrifuged concrete on activated Portland cement,open_access_pdf,unclear
287,Stress Analysis of Centrifuged Concrete Filled Steel Tube Elements,venue,unclear
287,Stress Analysis of Centrifuged Concrete Filled Steel Tube Elements,abstract,unclear
287,Stress Analysis of Centrifuged Concrete Filled Steel Tube Elements,open_access_pdf,unclear
288,CONSTRUCTIVE QUALITY COEFFICIENTS OF LIGHTWEIGHT CENTRIFUGED CONCRETE ON ALKALI-ACTIVATED WATER,abstract,unclear
288,CONSTRUCTIVE QUALITY COEFFICIENTS OF LIGHTWEIGHT CENTRIFUGED CONCRETE ON ALKALI-ACTIVATED WATER,open_access_pdf,unclear
289,Numerical Modeling of Welding Temperature in Centrifuge Concrete-Filled Steel Tubular Columns,open_access_pdf,unclear
290,State-of-the-Art and Theoretical Background,abstract,unclear
290,State-of-the-Art and Theoretical Background,open_access_pdf,unclear
291,Technology and Experimental Setup for Manufacturing Centrifuged (CF) and Vibro-centrifuged (VCF) Concrete Elements with Functionally Gradient Structure,abstract,unclear
291,Technology and Experimental Setup for Manufacturing Centrifuged (CF) and Vibro-centrifuged (VCF) Concrete Elements with Functionally Gradient Structure,open_access_pdf,unclear
295,Comparison of Static and Dynamic Pile Load Tests at Thi Vai International Port in Viet Nam,open_access_pdf,unclear
296,Experimental study on seismic performance of prestressed concrete solid square piles,open_access_pdf,unclear
299,Research on Horizontal Bearing Capacity of Precast Thin-Wall Steel and Spun Concrete Composite Pile,open_access_pdf,unclear
300,Flexural performance of pretensioned centrifugal spun concrete piles with combined steel strands and reinforcing bars,abstract,unclear
300,Flexural performance of pretensioned centrifugal spun concrete piles with combined steel strands and reinforcing bars,open_access_pdf,unclear
301,Experimental Research on Flexural Behavior of Precast Thin-Wall Steel and Spun Concrete Composite Pile,open_access_pdf,unclear
302,Full-scale experimental study of the seismic performance of pretensioned spun high-strength concrete piles,abstract,unclear
302,Full-scale experimental study of the seismic performance of pretensioned spun high-strength concrete piles,open_access_pdf,unclear
316,Evaluation of time-dependent pile capacity increase in soft clay,venue,unclear
318,speed,venue,unclear
318,speed,open_access_pdf,unclear
320,Influence of Pile Soil Interaction on Seismic Behavior of PHC Pipe Piles,venue,unclear
326,Traffic generated non-exhaust particulate emissions from concrete pavement: A mass and particle size study for two-wheelers and small cars,abstract,unclear
326,Traffic generated non-exhaust particulate emissions from concrete pavement: A mass and particle size study for two-wheelers and small cars,open_access_pdf,unclear
327,Unsaturated Polyesters and Vinyl Esters,abstract,unclear
327,Unsaturated Polyesters and Vinyl Esters,open_access_pdf,unclear
329,Unsaturated polyesters and vinyl esters,abstract,unclear
329,Unsaturated polyesters and vinyl esters,open_access_pdf,unclear
331,Pylons made of high-strength spun concrete and prestressed with carbon fibre reinforced plastic for high power transmission lines,open_access_pdf,unclear
333,The effects of latex additions on centrifugally cast concrete for internal pipeline protection,venue,unclear
333,The effects of latex additions on centrifugally cast concrete for internal pipeline protection,open_access_pdf,unclear
334,Seismic Performance Test of TSC Composit Beam to CRC Composit Column Connections,open_access_pdf,unclear
335,Cement-Free Refractory Concretes. Part 12-1. Siliceous Composition HCBS and Ceramic Concretes,abstract,unclear
335,Cement-Free Refractory Concretes. Part 12-1. Siliceous Composition HCBS and Ceramic Concretes,open_access_pdf,unclear
336,Functionally graded materials classifications and development trends from industrial point of view,abstract,unclear
337,Trends in the global market of iron and iron castings in the first quarter of the 21st century,open_access_pdf,unclear
338,Effect of Joint Reinforcement on Reinforced Concrete Pile by Centrifugal Casting,abstract,unclear
338,Effect of Joint Reinforcement on Reinforced Concrete Pile by Centrifugal Casting,open_access_pdf,unclear
343,Advances in lightweight composite structures and manufacturing technologies: A comprehensive review,open_access_pdf,unclear
344,Effect of processing factors on the characteristics of centrifugal casting,open_access_pdf,unclear
357,"Effects of Cement Chemistry, Admixtures, and Inhibitors on Corrosion Protection of Steel Pipelines by Interal Concrete Liners",venue,unclear
357,"Effects of Cement Chemistry, Admixtures, and Inhibitors on Corrosion Protection of Steel Pipelines by Interal Concrete Liners",open_access_pdf,unclear
372,Performance Evaluation of the Pretensioned Spun High Strength Concrete Piles (PHC) Using Recycled Concrete Aggregate,open_access_pdf,unclear
374,Experimental investigation on recycled aggregate concrete filled steel tubular stub columns under axial compression,abstract,unclear
378,Corrosion Behavior of Prestressed High-Strength Concrete Piles and Cast-in-Place Piles in a Landfill Leachate Environment,abstract,unclear
378,Corrosion Behavior of Prestressed High-Strength Concrete Piles and Cast-in-Place Piles in a Landfill Leachate Environment,open_access_pdf,unclear
391,Responses of fresh concrete piles induced by pipe pile casing penetration in clay,open_access_pdf,unclear
392,Numerical simulation of plug formation during casing installation of cast-in-place concrete pipe (PCC) piles,open_access_pdf,unclear
410,Editorial,abstract,unclear
413,A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique to manipulate the fiber orientation and distribution,abstract,unclear
413,A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique to manipulate the fiber orientation and distribution,open_access_pdf,unclear
414,Shear performance of centrifugal forming hollow circular SFRC piles: Feasibility study of replacing stirrups with steel fibers,abstract,unclear
414,Shear performance of centrifugal forming hollow circular SFRC piles: Feasibility study of replacing stirrups with steel fibers,open_access_pdf,unclear
415,Seismic performances of centrifugally-formed hollow-core precast columns with multi-interlocking spirals,open_access_pdf,unclear
417,Effects of centrifugal forming and steam curing on the fracture behavior of PHC pipe pile concrete,open_access_pdf,unclear
419,Research on production technology of lightweight anticorrosive partially prestressed RPC transmission tower,venue,unclear
419,Research on production technology of lightweight anticorrosive partially prestressed RPC transmission tower,open_access_pdf,unclear
432,Size Matters - Understanding Monumentality Across Ancient Civilizations,open_access_pdf,unclear
439,"CAMPS OF PROTECTION, SPACES OF EXCEPTION: A READING OF THE UNITED NATIONS PROTECTION OF CIVILIANS SITES IN SOUTH SUDAN",venue,unclear
441,"Driven Ductile Iron Pipe Piles: Design, Installation, and Performance",venue,unclear
441,"Driven Ductile Iron Pipe Piles: Design, Installation, and Performance",open_access_pdf,unclear
442,Corrosion Performance of Concrete Cylinder Piles,venue,unclear
442,Corrosion Performance of Concrete Cylinder Piles,open_access_pdf,unclear
443,displacement centrifugally-cast concrete pile,authors,unclear
443,displacement centrifugally-cast concrete pile,venue,unclear
443,displacement centrifugally-cast concrete pile,abstract,unclear
443,displacement centrifugally-cast concrete pile,open_access_pdf,unclear
444,driven centrifugally-cast concrete pile,authors,unclear
444,driven centrifugally-cast concrete pile,venue,unclear
444,driven centrifugally-cast concrete pile,abstract,unclear
444,driven centrifugally-cast concrete pile,open_access_pdf,unclear
445,centrifugally-cast concrete driven pile,authors,unclear
